Body,aspect_terms
Just unistalled and reinstalled the app hopefully it is going to work. After doing over 70 invoices it stopped working dashboard showed blank 😕,"Quality, App, Invoicing, Dashboard"
"Voy a evaluar regular, porque con la última actualización ya no puedo usar la APP, no me permite ver la información de mi usuario.",App
Good,
Like everyone else I'm having major issue with the app. Since recent update I can only see recent activity. Everything else is blank.,"Quality, Updates"
Dashboard is broken!! Loads but shows up blank. I can see things in the activity page but everything else doesn't work!! Please fix this. I'm running Android 10,"Dashboard, Quality"
"So unimpressed. Not been able to access my invoices for 2 days. The app gives a message as soon as you try to log in telling you, you appear to have no Internet. All of do have Internet, including the many people who have logged the complaint online. When we go to your website the status says there is no problems or reported issues.. Farewell QUICKBOOKS, I AM going Back to 'my invoice home' which is cheaper and I have never had a problem with, it was easier to use and so easy to upload a logo.","Invoicing, Quality, Receipt Capture"
S8,
So easy to understand and use,
I have been a happy customer u till this new update every time I try to logon it keeps saying THE INTERNET SEEMS TO BE OFFLINE... now I can not update my sales n payments,
Nice software and easy way to learn.,"App, Experience"
"The App's desktop, banking and invoicing capabilities worked just fine yesterday, but not today. I, the Master Administrator logged into the same Android device with my credentials, and the desktop and invoicing appears. No idea what is going on here, but if the Master Admin can log into any device and not the user (""admin"" client), what is going on? Like I said, it worked just fine yesterday. Tech support was no help. I ended up inactivating the user and activated them again. Now it works fine....until next month.","App, Customer Service"
The app is good and rather simple to use.,Experience
This app needs a lot of work.,App
This app has told me there is a temporary problem on and off for approximately the past 12 months. This app is detrimental to my business. Please FIX ASAP!,App
I can no longer create or see invoices. My home page is literally blank except for the header and the home menu buttons on the bottom. Edit: a solution was found that works for me. I had my account switched to administrative and I'm no longer having issues.,"Invoicing, Quality"
cannot login. uninstalled and now cannot reinstall,Quality
Great and so Helpful!,
This app works sometimes and then not at all. I log in and there is no icons to search customers or anything at all. Please help!,App
"Horrendous software. Awkward to use, not intuitive. Massive outage when I have a ton of work to get done for my client's vat return.",App
Used to work perfect ever since update it's very unreliable. Can't log into app reliably. It often locks me out right when I'm standing in a customer's house trying to invoice them or locks me out when I need to go through my client list for a phone number etc. I suggest you consider competitors software until the app becomes stable again.,"Updates, Quality, Invoicing"
The app is good. They can still work on some parts to make user experience better.,
I have updated my review. Quickbooks has made some great changes and improvements. They still have a few to go. But definitely on the right track. I have also had to contact customer service and they were super helpful. Thank you quickbooks you have changed my mind and made this a great app. Definitely recommend!!!!,Customer Service
Excellent,
Sporadically unable to log in. App now says that the internet connection is offline which is nonsense. For a paid subscription app this has way too many issues. Not good and definitely not recommended. There are better invoicing apps for less money readily available.,"App, Quality"
